,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,3,3,seulement,only
3,3,4,4,police,police
4,4,5,5,pensais,thought
5,5,6,6,aide,help
6,6,7,7,demande,request
7,7,9,9,mois,month
8,8,10,10,frère,brother
9,9,11,11,laisser,let
10,10,12,12,car,because
11,11,13,13,mettre,to put
12,12,14,14,aucun,no
13,13,15,15,laisse,leash
14,14,16,16,eux,them
15,15,17,17,ville,city
16,16,18,18,parlé,speak
17,17,19,19,arrivé,come
18,18,20,20,devrait,should
19,19,21,21,bébé,baby
20,20,22,22,longtemps,long time
21,21,24,24,vont,will
22,22,25,25,pendant,while
23,23,26,26,revoir,meet again
24,24,28,28,place,square
25,25,29,29,parle,speak
26,26,30,30,compris,understood
27,27,31,31,savais,knew
28,28,32,32,étaient,were
29,29,33,33,attention,Warning
30,30,34,34,voici,here is
31,31,35,35,pourrais,could
32,32,36,36,affaire,case
33,33,37,37,donner,give
34,34,38,38,type,type
35,35,39,39,leurs,their
36,36,41,41,train,train
37,37,42,42,corps,body
38,38,44,44,yeux,eyes
39,39,45,45,façon,way
40,40,46,47,dont,whose
41,41,47,48,trouve,find
42,42,48,49,premier,first
43,43,49,50,perdu,lost
44,44,50,51,main,hand
45,45,51,52,première,first
46,46,53,54,pouvoir,power
47,47,54,55,vieux,old
48,48,55,56,sois,be
49,49,56,57,tiens,here
50,50,57,58,matin,morning
51,51,58,59,tellement,so much
52,52,59,60,enfant,child
53,53,61,63,suite,after
54,54,62,64,pardon,sorry
55,55,63,65,venez,come
56,56,64,66,devant,in front of
57,57,65,67,vers,towards
58,58,67,69,demandé,request
59,59,69,71,mis,placed
60,60,70,72,belle,beautiful
61,61,73,75,aujourd'hui,today
62,62,74,76,mari,husband
63,63,75,77,cause,cause
64,65,77,80,eau,water
65,66,79,83,nouvelle,new
66,67,80,84,boulot,job
67,68,81,85,arrêter,Stop
68,69,82,86,dirait,would say
69,70,83,87,terre,Earth
70,71,85,89,donne,given
71,72,86,90,loin,far
72,73,87,91,fin,end
73,74,88,92,croire,believe
74,75,90,94,gros,large
75,76,91,95,plutôt,rather
76,77,93,97,filles,girls
77,78,94,98,jouer,to play
78,79,95,99,bureau,office
